name,filter,mjd,flux,flux_err,zp,zpsys
03D1au,sdssr,52933.5,3.3947000000000003,0.25738000000000005,25,bd17
03D1au,sdssr,52934.5,3.4235,0.13007,25,bd17
03D1au,sdssg,52934.53,0.6666599999999999,0.085105,25,bd17
03D1au,sdssi,52937.48,6.0027,0.17783000000000002,25,bd17
03D1au,sdssg,52937.55,0.60213,0.14456,25,bd17
03D1au,sdssr,52937.57,2.6554,0.21949000000000002,25,bd17
03D1au,sdssz,52938.51,6.9299,1.1559,25,bd17
03D1au,sdssi,52942.47,4.856,0.2248,25,bd17
03D1au,sdssi,52944.35,4.8806,0.19024000000000002,25,bd17
03D1au,sdssg,52944.39,0.28583000000000003,0.16418,25,bd17
03D1au,sdssr,52944.43,1.7226,0.16261,25,bd17
03D1au,sdssz,52944.46,6.5291999999999994,0.8631299999999998,25,bd17
03D1au,sdssi,52961.39,2.5614,0.24395,25,bd17
03D1au,sdssg,52961.45,0.31146,0.15477,25,bd17
03D1au,sdssr,52961.48,0.66684,0.20500999999999997,25,bd17
03D1au,sdssz,52962.31,4.3669,0.70268,25,bd17
03D1au,sdssi,52964.32,2.4536000000000002,0.19712,25,bd17
03D1au,sdssg,52964.37,0.15700999999999998,0.10218999999999999,25,bd17
03D1au,sdssr,52964.4,0.76426,0.19704,25,bd17
03D1au,sdssz,52964.44,0.005682899999999999,1.7358000000000002,25,bd17
03D1au,sdssr,52968.36,0.93431,0.24116999999999997,25,bd17
03D1au,sdssi,52972.27,1.8087,0.31099,25,bd17
03D1au,sdssi,52990.26,1.3219999999999998,0.20675000000000002,25,bd17
03D1au,sdssr,52990.34,0.41631999999999997,0.19434,25,bd17
03D1au,sdssi,52992.24,0.77787,0.214,25,bd17
03D1au,sdssr,52992.29,0.5281399999999999,0.15252000000000002,25,bd17
03D1au,sdssg,52992.33,0.1741,0.12161,25,bd17
03D1au,sdssi,52995.35,0.79585,0.2228,25,bd17
03D1au,sdssr,52995.39,0.43095,0.1371,25,bd17
03D1au,sdssi,52999.24,0.91984,0.21263,25,bd17
03D1au,sdssr,52999.28,0.27709,0.13710999999999998,25,bd17
03D1au,sdssg,52999.32,0.0050629,0.10804,25,bd17
03D1au,sdssz,52999.36,0.5343199999999999,1.3783,25,bd17
03D1au,sdssz,53000.24,1.4109,0.69872,25,bd17
03D1au,sdssi,53018.26,0.87066,0.18878,25,bd17
03D1au,sdssr,53018.32,0.48499,0.16702999999999998,25,bd17
03D1au,sdssi,53022.28,1.1793,0.24031999999999998,25,bd17
03D1au,sdssr,53022.32,0.17348,0.42456000000000005,25,bd17
03D1au,sdssr,53023.23,0.40113,0.11026,25,bd17
03D1au,sdssi,53026.27,0.70194,0.22144000000000003,25,bd17
03D1au,sdssr,53026.34,0.35611999999999994,0.12877,25,bd17
03D1au,sdssr,53207.6,0.007725999999999999,0.14697000000000002,25,bd17
03D1au,sdssi,53210.6,-0.047982,0.18864999999999998,25,bd17
03D1aw,sdssg,52880.58,0.084276,0.066063,25,bd17
03D1aw,sdssi,52881.5,1.4843000000000002,0.18430999999999997,25,bd17
03D1aw,sdssr,52881.54,1.0358,0.11934000000000002,25,bd17
03D1aw,sdssz,52881.56,2.046,0.6295000000000001,25,bd17
03D1aw,sdssi,52886.6,4.5132,0.21041999999999997,25,bd17
03D1aw,sdssg,52900.5,1.7147999999999999,0.15488,25,bd17
03D1aw,sdssi,52900.53,8.7327,0.21434999999999998,25,bd17
03D1aw,sdssr,52900.56,6.4125,0.20292000000000002,25,bd17
03D1aw,sdssz,52900.59,8.3791,0.84777,25,bd17
03D1aw,sdssi,52904.53,8.0397,0.16485,25,bd17
03D1aw,sdssr,52904.57,5.7936000000000005,0.16058,25,bd17
03D1aw,sdssg,52904.6,1.4816,0.095053,25,bd17
03D1aw,sdssg,52908.53,1.1668,0.093898,25,bd17
03D1aw,sdssr,52908.56,5.679500000000001,0.14897,25,bd17
03D1aw,sdssi,52908.6,7.6579999999999995,0.20422,25,bd17
03D1aw,sdssz,52909.61,7.7066,0.76699,25,bd17
03D1aw,sdssi,52912.49,7.1015999999999995,0.20112000000000002,25,bd17
03D1aw,sdssr,52914.58,4.4563,0.24434999999999998,25,bd17
03D1aw,sdssi,52915.62,6.3486,0.27746,25,bd17
03D1aw,sdssr,52916.46,4.0360000000000005,0.14357,25,bd17
03D1aw,sdssz,52930.42,9.5681,3.4297000000000004,25,bd17
03D1aw,sdssr,52934.51,1.2955,0.33104999999999996,25,bd17
03D1aw,sdssg,52934.53,0.063916,0.19535,25,bd17
03D1aw,sdssi,52937.51,2.3695,0.48312,25,bd17
03D1aw,sdssg,52937.56,-0.05622,0.2929,25,bd17
03D1aw,sdssr,52937.58,0.23256,0.53176,25,bd17
03D1aw,sdssz,52938.52,8.4902,2.1691,25,bd17
03D1aw,sdssi,52942.49,2.5076,0.7660300000000001,25,bd17
03D1aw,sdssr,52944.44,1.0315,0.41385,25,bd17
03D1aw,sdssz,52944.47,1.3278999999999999,1.3744,25,bd17
03D1aw,sdssi,52961.38,1.0978,0.24161,25,bd17
03D1aw,sdssg,52961.45,0.09811500000000001,0.12911,25,bd17
03D1aw,sdssr,52961.48,0.82239,0.21574000000000002,25,bd17
03D1aw,sdssz,52962.31,2.0361000000000002,0.55918,25,bd17
03D1aw,sdssi,52964.32,1.1676,0.2097,25,bd17
03D1aw,sdssg,52964.37,-0.16832999999999998,0.095273,25,bd17
03D1aw,sdssr,52964.4,0.39067,0.22655,25,bd17
03D1aw,sdssz,52964.44,1.5872,1.5243,25,bd17
